randomInt;age;gender;district;modeOfTransportation;distance;G03Q13amountOfPeople;income;frequency;days[1];days[2];days[3];days[4];days[5];days[6];days[7];time[1];time[2];time[3];time[4];time[5];moneySpent;orderingItems;deliveringItems;willingPayDelivery;findProducts;usingDiscounts;preferCash;preferCashless;isRelaxing;satisGeneralStore;satisMusic;satisQualityProducts;satisGeneralAssortment;satisVeganProducts;satisOrganicProducts;satisGlutenfreeProducts;satisAnimalProducts;ideasExtendedBusiness;ideasHelpCarry;ideasCustomerCouncil;ideasFreeWifi;ideasTouchDisplay;ideasSelfCheckout;ideasBikeParking;ideasUndergroundParking
1;50-55;Male;;Own Car;;5 or more;;Once;No;No;No;No;Yes;Yes;No;Yes;No;No;No;No;More than 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather disagree;Strongly disagree;Strongly agree;Neutral / Undecided;10;;10;9;;;4;8;1;1;1;8;9;3;1;1
4;25-30;Male;Duckborg;Bicycle;3-5km;3;2123;Twice;No;No;Yes;No;Yes;No;No;No;Yes;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;… get them delivered to the store for me to pick-up.;Less than 10 USD;Strongly agree;Neutral / Undecided;;Rather disagree;Strongly disagree;4;5;5;8;4;7;6;5;2;4;2;4;7;4;5;3
1;35-40;Male;Duckborg;Bicycle;500 meters to 1km;1;2000;Twice;Yes;No;No;Yes;No;No;No;No;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly disagree;Neutral / Undecided;Neutral / Undecided;Strongly disagree;7;1;8;7;6;9;;;5;1;1;4;6;9;10;1
4;65-70;Female;Godham;Bicycle;3-5km;2;120000;Twice;No;No;Yes;No;No;Yes;No;Yes;No;No;No;No;Between 75 and 100 USD;… ordering online.;… get them directly delivered to my address.;15 to 20 USD;Neutral / Undecided;Rather disagree;Strongly disagree;Strongly agree;Neutral / Undecided;8;5;8;8;10;8;5;;3;1;1;10;9;9;9;1
1;15-20;Male;Godham;Own Car;>7km;1;980720;;No;No;No;No;No;No;No;No;No;No;No;No;;;;;Rather agree;Rather agree;Strongly disagree;Strongly agree;Strongly disagree;8;9;7;6;7;6;8;9;10;1;1;10;7;10;10;10
3;50-55;Diverse;Springtown;Taxi;1-2km;4;300000;Three times;No;No;No;Yes;No;Yes;No;No;Yes;No;No;No;Between 50 and 75;… ordering online.;… get them directly delivered to my address.;More than 20 USD;;;;;;;;;;;;;;;;;;;;;
1;35-40;Female;Duckborg;Walking;Less than few hundred meters;2;70000;Four times;Yes;No;Yes;No;Yes;Yes;No;No;No;No;Yes;Yes;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Neutral / Undecided;Neutral / Undecided;Strongly disagree;Strongly agree;Neutral / Undecided;8;4;7;6;6;6;6;6;10;1;3;3;4;10;3;3
1;30-35;Male;Godham;Own Car;500 meters to 1km;2;6000;Twice;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather disagree;Strongly disagree;Strongly agree;Rather agree;8;4;8;9;;7;;9;9;2;1;1;1;10;1;1
2;30-35;Male;Springtown;Own Car;3-5km;3;5000;Three times;Yes;No;Yes;No;No;Yes;No;No;Yes;No;No;Yes;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Strongly agree;Rather disagree;Rather agree;Rather disagree;7;;8;7;;;;8;8;1;1;5;4;9;5;5
3;30-35;Prefer not to say;Duckborg;Bicycle;Less than few hundred meters;3;2500;Twice;No;No;Yes;No;No;Yes;No;No;No;No;Yes;Yes;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly disagree;Strongly agree;Strongly agree;Rather agree;7;1;6;4;3;3;;7;8;4;4;10;4;10;10;3
2;40-45;Male;Duckborg;Own Car;3-5km;5 or more;60000;Once;No;No;No;Yes;No;No;No;Yes;No;No;No;No;100 to 125 USD;…selecting them myself in the store.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Rather agree;Rather disagree;Strongly agree;Strongly disagree;8;4;7;8;5;8;;8;4;4;3;3;4;9;3;9
2;35-40;Male;Metrapalis;Own Car;3-5km;4;60000;Once;No;No;No;No;No;Yes;No;Yes;No;No;No;No;More than 125 USD;… ordering online.;… get them directly delivered to my address.;10-15 USD;Rather agree;Strongly agree;Rather disagree;Rather agree;Strongly disagree;5;3;7;8;;7;;7;5;3;3;3;3;2;2;7
1;35-40;Male;Duckborg;Bicycle;500 meters to 1km;2;30000;Three times;Yes;No;No;Yes;No;Yes;No;Yes;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly disagree;Strongly agree;Strongly agree;Strongly disagree;Neutral / Undecided;10;4;9;10;9;10;10;;5;1;5;5;5;;;1
3;20-25;Male;Godham;Bicycle;1-2km;1;570;Three times;No;Yes;No;No;Yes;Yes;No;No;No;No;Yes;No;Between 25 and 50 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Strongly agree;Strongly disagree;Strongly agree;Rather disagree;10;4;9;9;;10;;10;7;1;1;10;8;10;10;3
3;50-55;Male;Duckborg;Own Car;3-5km;5 or more;100000;Twice;No;Yes;No;No;No;Yes;No;No;No;Yes;No;No;More than 125 USD;… ordering online.;… get them directly delivered to my address.;I would not pay for that;Rather agree;Strongly agree;Strongly disagree;Strongly agree;Strongly disagree;8;;8;8;8;8;;8;8;1;1;7;5;10;5;5
1;25-30;Male;Metrapalis;Walking;500 meters to 1km;2;2000;Once;No;No;No;No;No;Yes;No;Yes;No;No;No;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly disagree;Rather disagree;Rather agree;Strongly disagree;Rather disagree;7;6;8;8;7;7;7;5;6;6;4;10;9;9;9;8
1;50-55;Male;Duckborg;Walking;Less than few hundred meters;1;4000;More than four times;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;Yes;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Rather disagree;Neutral / Undecided;Neutral / Undecided;Rather agree;8;5;9;7;6;8;;9;10;1;2;9;9;10;3;1
2;35-40;Female;Springtown;Public transportation;500 meters to 1km;3;120000;Once;No;No;No;No;No;Yes;No;Yes;No;No;No;No;100 to 125 USD;… ordering online.;… get them directly delivered to my address.;10-15 USD;Rather agree;Rather disagree;Strongly disagree;Strongly agree;Strongly disagree;8;;8;7;9;9;;9;1;1;2;8;1;3;8;1
3;20-25;Male;Springtown;Bicycle;500 meters to 1km;1;500;Once;Yes;No;No;No;Yes;Yes;Yes;No;No;No;Yes;No;Less than 25 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather agree;Strongly disagree;Strongly agree;Rather agree;8;4;7;8;;8;;8;1;1;1;8;1;10;10;1
1;30-35;Male;Metrapalis;Walking;Less than few hundred meters;1;100000;Four times;No;No;Yes;No;No;Yes;No;No;No;No;Yes;No;100 to 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly agree;Rather disagree;Strongly agree;Strongly disagree;7;6;8;8;5;9;8;9;7;4;3;4;8;10;10;6
1;25-30;Male;Duckborg;Walking;500 meters to 1km;1;0;Twice;Yes;No;Yes;No;No;No;Yes;No;Yes;No;Yes;Yes;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;Less than 10 USD;Rather agree;Strongly disagree;Rather disagree;Strongly agree;Strongly disagree;8;4;7;7;;;;9;8;5;4;7;9;10;10;10
2;50-55;Male;Godham;;500 meters to 1km;3;500;Twice;No;Yes;No;No;No;Yes;No;No;No;No;Yes;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather agree;Neutral / Undecided;Neutral / Undecided;Rather disagree;9;4;8;9;4;7;;9;1;1;1;1;5;7;7;1
3;25-30;Male;Godham;Walking;Less than few hundred meters;2;2500;Twice;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Yes;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly agree;Neutral / Undecided;Neutral / Undecided;Rather disagree;8;8;8;8;;;;8;10;1;1;10;4;10;8;8
2;30-35;Prefer not to say;Springtown;Bicycle;1-2km;3;48000;Twice;No;Yes;No;No;Yes;No;No;No;No;No;Yes;No;Between 25 and 50 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Rather disagree;Strongly agree;Strongly disagree;Strongly agree;Strongly disagree;7;4;2;3;1;1;;;2;1;2;3;1;6;10;3
4;20-25;Female;Springtown;Walking;1-2km;2;1400;Once;No;No;No;No;Yes;No;No;No;No;Yes;No;No;Between 50 and 75;…selecting them myself in the store.;…get them myself in and from the store.;;Rather disagree;Strongly agree;Strongly disagree;Strongly agree;Strongly disagree;8;;8;7;10;10;10;10;4;7;8;5;5;4;7;
4;60-65;Female;Springtown;Walking;Less than few hundred meters;2;;Three times;Yes;Yes;No;Yes;No;No;No;Yes;No;No;Yes;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather disagree;Rather disagree;Strongly agree;Strongly agree;9;7;8;8;9;8;8;6;7;7;4;5;7;10;6;6
2;40-45;Male;Metrapalis;Bicycle;1-2km;4;7000;Twice;No;Yes;No;No;Yes;No;No;No;No;Yes;Yes;No;100 to 125 USD;…selecting them myself in the store.;… get them directly delivered to my address.;10-15 USD;Rather agree;Rather disagree;Neutral / Undecided;Neutral / Undecided;Rather disagree;8;3;6;7;7;7;;8;1;1;1;1;1;8;8;5
3;40-45;Male;Godham;Own Car;5-7km;2;250000;Three times;Yes;No;Yes;No;No;Yes;No;No;No;No;No;Yes;More than 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Rather agree;Strongly disagree;Rather disagree;Strongly agree;Rather disagree;9;4;9;8;9;6;7;9;8;2;6;8;7;8;5;8
4;65-70;Male;Metrapalis;Bicycle;500 meters to 1km;2;100000;Once;Yes;No;No;No;No;No;No;Yes;No;No;No;No;Between 50 and 75;… ordering online.;… get them delivered to the store for me to pick-up.;Less than 10 USD;Neutral / Undecided;Rather disagree;Rather disagree;Rather agree;Neutral / Undecided;2;1;1;2;;2;1;2;2;1;3;2;4;1;2;4
3;25-30;Female;Piltunder;Bicycle;500 meters to 1km;1;1200;More than four times;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;No;No;Yes;Yes;Less than 25 USD;… ordering online.;…get them myself in and from the store.;;Rather agree;Strongly agree;Rather disagree;Rather agree;Rather disagree;4;2;6;7;6;5;8;7;9;3;2;3;4;9;9;2
1;65-70;Male;Godham;Walking;Less than few hundred meters;2;40000;Once;No;No;No;No;No;No;Yes;No;Yes;No;No;No;Between 75 and 100 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;;Strongly disagree;Strongly agree;Rather agree;8;;8;8;;8;;8;10;;1;10;10;10;;
2;35-40;Male;Piltunder;Bicycle;1-2km;3;600006;Twice;Yes;No;No;No;Yes;No;No;No;No;No;No;Yes;Between 75 and 100 USD;…selecting them myself in the store.;… get them directly delivered to my address.;Less than 10 USD;Neutral / Undecided;Strongly agree;;Rather agree;Rather disagree;6;8;7;9;4;3;4;9;10;8;1;10;9;10;10;10
3;15-20;Prefer not to say;Metrapalis;Bicycle;500 meters to 1km;5 or more;-99932;;No;No;No;No;No;No;No;No;No;No;No;No;;;;;Strongly disagree;Strongly disagree;Rather disagree;Rather disagree;Neutral / Undecided;2;3;5;5;9;7;10;9;1;1;1;10;10;10;10;1
1;50-55;Male;Springtown;Own Car;1-2km;4;5000;Once;No;No;No;No;No;No;Yes;Yes;No;No;No;No;More than 125 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Rather agree;Strongly disagree;Strongly agree;Rather agree;9;7;9;9;8;8;7;9;9;9;9;6;7;8;5;9
1;25-30;Male;Springtown;Walking;500 meters to 1km;2;5000;Twice;No;Yes;No;No;No;Yes;No;No;No;No;Yes;Yes;Between 75 and 100 USD;…selecting them myself in the store.;… get them delivered to the store for me to pick-up.;Less than 10 USD;Neutral / Undecided;Rather agree;Neutral / Undecided;Neutral / Undecided;Neutral / Undecided;5;;6;6;6;8;4;4;9;3;1;1;1;8;10;1
4;65-70;Male;Springtown;Bicycle;1-2km;2;30000;Twice;Yes;No;No;No;Yes;No;No;Yes;No;No;No;No;Between 75 and 100 USD;… ordering online.;… get them directly delivered to my address.;Less than 10 USD;Rather agree;Rather disagree;Strongly disagree;Strongly agree;Neutral / Undecided;7;3;8;7;5;8;6;8;3;5;2;6;7;8;9;2
2;20-25;Male;Springtown;Walking;Less than few hundred meters;5 or more;1300;Three times;Yes;No;No;No;Yes;Yes;No;Yes;No;Yes;No;No;Between 25 and 50 USD;…selecting them myself in the store.;…get them myself in and from the store.;;Strongly agree;Strongly disagree;Strongly disagree;Strongly agree;Strongly disagree;5;7;7;5;;;;5;10;5;1;10;5;10;3;6
